year,cancerType,state,stat,value
2006,Infectious,IN,deaths,1340
2006,Infectious,IN,population,6332669
2006,Infectious,IN,crude_rate,21.2
2007,Infectious,IN,deaths,1318
2007,Infectious,IN,population,6379599
2007,Infectious,IN,crude_rate,20.7
2008,Infectious,IN,deaths,1386
2008,Infectious,IN,population,6424806
2008,Infectious,IN,crude_rate,21.6
2009,Infectious,IN,deaths,1406
2009,Infectious,IN,population,6459325
2009,Infectious,IN,crude_rate,21.8
2010,Infectious,IN,deaths,1442
2010,Infectious,IN,population,6483802
2010,Infectious,IN,crude_rate,22.2
1999,Infectious,IA,deaths,382
1999,Infectious,IA,population,2917634
1999,Infectious,IA,crude_rate,13.1
2000,Infectious,IA,deaths,371
2000,Infectious,IA,population,2926324
2000,Infectious,IA,crude_rate,12.7
2001,Infectious,IA,deaths,398
2001,Infectious,IA,population,2931997
2001,Infectious,IA,crude_rate,13.6
2002,Infectious,IA,deaths,382
2002,Infectious,IA,population,2934234
2002,Infectious,IA,crude_rate,13
2003,Infectious,IA,deaths,362
2003,Infectious,IA,population,2941999
2003,Infectious,IA,crude_rate,12.3
2004,Infectious,IA,deaths,388
2004,Infectious,IA,population,2953635
2004,Infectious,IA,crude_rate,13.1
2005,Infectious,IA,deaths,360
2005,Infectious,IA,population,2964454
2005,Infectious,IA,crude_rate,12.1
2006,Infectious,IA,deaths,427
2006,Infectious,IA,population,2982644
2006,Infectious,IA,crude_rate,14.3
2007,Infectious,IA,deaths,435
2007,Infectious,IA,population,2999212
2007,Infectious,IA,crude_rate,14.5
2008,Infectious,IA,deaths,493
2008,Infectious,IA,population,3016734
2008,Infectious,IA,crude_rate,16.3
2009,Infectious,IA,deaths,462
2009,Infectious,IA,population,3032870
2009,Infectious,IA,crude_rate,15.2
2010,Infectious,IA,deaths,446
2010,Infectious,IA,population,3046355
2010,Infectious,IA,crude_rate,14.6
1999,Infectious,KS,deaths,430
1999,Infectious,KS,population,2678338
1999,Infectious,KS,crude_rate,16.1
2000,Infectious,KS,deaths,400
2000,Infectious,KS,population,2688418
2000,Infectious,KS,crude_rate,14.9
2001,Infectious,KS,deaths,433
2001,Infectious,KS,population,2702162
2001,Infectious,KS,crude_rate,16
2002,Infectious,KS,deaths,475
2002,Infectious,KS,population,2713535
2002,Infectious,KS,crude_rate,17.5
2003,Infectious,KS,deaths,495
2003,Infectious,KS,population,2723004
2003,Infectious,KS,crude_rate,18.2
2004,Infectious,KS,deaths,433
2004,Infectious,KS,population,2734373
2004,Infectious,KS,crude_rate,15.8
2005,Infectious,KS,deaths,437
2005,Infectious,KS,population,2745299
2005,Infectious,KS,crude_rate,15.9
2006,Infectious,KS,deaths,485
2006,Infectious,KS,population,2762931
2006,Infectious,KS,crude_rate,17.6
2007,Infectious,KS,deaths,473
2007,Infectious,KS,population,2783785
2007,Infectious,KS,crude_rate,17
2008,Infectious,KS,deaths,560
2008,Infectious,KS,population,2808076
2008,Infectious,KS,crude_rate,19.9
2009,Infectious,KS,deaths,610
2009,Infectious,KS,population,2832704
2009,Infectious,KS,crude_rate,21.5
2010,Infectious,KS,deaths,542
2010,Infectious,KS,population,2853118
2010,Infectious,KS,crude_rate,19
1999,Infectious,KY,deaths,838
1999,Infectious,KY,population,4018053
1999,Infectious,KY,crude_rate,20.9
2000,Infectious,KY,deaths,831
2000,Infectious,KY,population,4041769
2000,Infectious,KY,crude_rate,20.6
2001,Infectious,KY,deaths,873
2001,Infectious,KY,population,4068132
2001,Infectious,KY,crude_rate,21.5
2002,Infectious,KY,deaths,903
2002,Infectious,KY,population,4089875
2002,Infectious,KY,crude_rate,22.1
2003,Infectious,KY,deaths,835
2003,Infectious,KY,population,4117170
2003,Infectious,KY,crude_rate,20.3
2004,Infectious,KY,deaths,879
2004,Infectious,KY,population,4146101
2004,Infectious,KY,crude_rate,21.2
2005,Infectious,KY,deaths,875
2005,Infectious,KY,population,4182742
2005,Infectious,KY,crude_rate,20.9
2006,Infectious,KY,deaths,964
2006,Infectious,KY,population,4219239
2006,Infectious,KY,crude_rate,22.8
2007,Infectious,KY,deaths,988
2007,Infectious,KY,population,4256672
2007,Infectious,KY,crude_rate,23.2
2008,Infectious,KY,deaths,1059
2008,Infectious,KY,population,4289878
2008,Infectious,KY,crude_rate,24.7
2009,Infectious,KY,deaths,1125
2009,Infectious,KY,population,4317074
2009,Infectious,KY,crude_rate,26.1
2010,Infectious,KY,deaths,1098
2010,Infectious,KY,population,4339367
2010,Infectious,KY,crude_rate,25.3
1999,Infectious,LA,deaths,1385
1999,Infectious,LA,population,4460811
1999,Infectious,LA,crude_rate,31
2000,Infectious,LA,deaths,1436
2000,Infectious,LA,population,4468976
2000,Infectious,LA,crude_rate,32.1
2001,Infectious,LA,deaths,1426
2001,Infectious,LA,population,4477875
2001,Infectious,LA,crude_rate,31.8
2002,Infectious,LA,deaths,1487
2002,Infectious,LA,population,4497267
2002,Infectious,LA,crude_rate,33.1
2003,Infectious,LA,deaths,1500
2003,Infectious,LA,population,4521042
2003,Infectious,LA,crude_rate,33.2
2004,Infectious,LA,deaths,1540
2004,Infectious,LA,population,4552238
2004,Infectious,LA,crude_rate,33.8
2005,Infectious,LA,deaths,1608
2005,Infectious,LA,population,4576628
2005,Infectious,LA,crude_rate,35.1
2006,Infectious,LA,deaths,1401
2006,Infectious,LA,population,4302665
2006,Infectious,LA,crude_rate,32.6
2007,Infectious,LA,deaths,1480
2007,Infectious,LA,population,4375581
2007,Infectious,LA,crude_rate,33.8
2008,Infectious,LA,deaths,1463
2008,Infectious,LA,population,4435586
2008,Infectious,LA,crude_rate,33
2009,Infectious,LA,deaths,1459
2009,Infectious,LA,population,4491648
2009,Infectious,LA,crude_rate,32.5
2010,Infectious,LA,deaths,1336
2010,Infectious,LA,population,4533372
2010,Infectious,LA,crude_rate,29.5
1999,Infectious,ME,deaths,189
1999,Infectious,ME,population,1266808
1999,Infectious,ME,crude_rate,14.9
2000,Infectious,ME,deaths,188
2000,Infectious,ME,population,1274923
2000,Infectious,ME,crude_rate,14.7
2001,Infectious,ME,deaths,185
2001,Infectious,ME,population,1285692
2001,Infectious,ME,crude_rate,14.4
2002,Infectious,ME,deaths,223
2002,Infectious,ME,population,1295960
2002,Infectious,ME,crude_rate,17.2
2003,Infectious,ME,deaths,228
2003,Infectious,ME,population,1306513
2003,Infectious,ME,crude_rate,17.5
2004,Infectious,ME,deaths,299
2004,Infectious,ME,population,1313688
2004,Infectious,ME,crude_rate,22.8
2005,Infectious,ME,deaths,296
2005,Infectious,ME,population,1318787
2005,Infectious,ME,crude_rate,22.4
2006,Infectious,ME,deaths,291
2006,Infectious,ME,population,1323619
2006,Infectious,ME,crude_rate,22
2007,Infectious,ME,deaths,285
2007,Infectious,ME,population,1327040
2007,Infectious,ME,crude_rate,21.5
2008,Infectious,ME,deaths,266
2008,Infectious,ME,population,1330509
2008,Infectious,ME,crude_rate,20
2009,Infectious,ME,deaths,288
2009,Infectious,ME,population,1329590
2009,Infectious,ME,crude_rate,21.7
2010,Infectious,ME,deaths,276
2010,Infectious,ME,population,1328361
2010,Infectious,ME,crude_rate,20.8
1999,Infectious,MD,deaths,1886
1999,Infectious,MD,population,5254509
1999,Infectious,MD,crude_rate,35.9
2000,Infectious,MD,deaths,1779
2000,Infectious,MD,population,5296486
2000,Infectious,MD,crude_rate,33.6
2001,Infectious,MD,deaths,1839
2001,Infectious,MD,population,5374691
2001,Infectious,MD,crude_rate,34.2
2002,Infectious,MD,deaths,1962
2002,Infectious,MD,population,5440389
2002,Infectious,MD,crude_rate,36.1
2003,Infectious,MD,deaths,2076
2003,Infectious,MD,population,5496269
2003,Infectious,MD,crude_rate,37.8
2004,Infectious,MD,deaths,1972
2004,Infectious,MD,population,5546935
2004,Infectious,MD,crude_rate,35.6
2005,Infectious,MD,deaths,2017
2005,Infectious,MD,population,5592379
2005,Infectious,MD,crude_rate,36.1
2006,Infectious,MD,deaths,1902
2006,Infectious,MD,population,5627367
2006,Infectious,MD,crude_rate,33.8
2007,Infectious,MD,deaths,1820
2007,Infectious,MD,population,5653408
2007,Infectious,MD,crude_rate,32.2
2008,Infectious,MD,deaths,1924
2008,Infectious,MD,population,5684965
2008,Infectious,MD,crude_rate,33.8
2009,Infectious,MD,deaths,1967
2009,Infectious,MD,population,5730388
2009,Infectious,MD,crude_rate,34.3
2010,Infectious,MD,deaths,1693
2010,Infectious,MD,population,5773552
2010,Infectious,MD,crude_rate,29.3
